arc_length,Pressure
ft,psi
280.0200296,4908.666072
282.8209154,4908.666072
285.6218012,4905.620274
288.422687,4905.620274
291.2235729,4905.620274
294.0211943,4903.444704
296.8220801,4903.444704
299.6229659,4900.253868
302.4238518,4900.253868
305.2247375,4900.253868
308.022359,4897.93326
310.8232447,4897.93326
313.6241305,4894.452348
316.4250164,4894.452348
319.2259022,4894.452348
322.0235236,4894.452348
324.8244094,4891.986702
327.6187664,4888.215714
330.4261811,4888.215714
333.2335958,4888.215714
336.0410105,4888.215714
338.8157808,4885.750068
341.6231955,4881.689004
344.4306102,4881.689004
347.2380249,4881.689004
350.0127952,4881.689004
352.82021,4878.933282
355.6276247,4874.72718
358.4350394,4874.72718
361.2424541,4874.72718
364.0172244,4874.72718
366.8246391,4871.681382
369.6320538,4867.185204
372.4394685,4867.185204
375.2142388,4867.185204
378.0216535,4867.185204
380.8290683,4863.994368
383.636483,4863.994368
386.4438977,4859.208114
389.218668,4859.208114
392.0260827,4859.208114
394.8334974,4859.208114
397.6409121,4855.87224
400.4156824,4850.650872
403.2230971,4850.650872
406.0305118,4850.650872
408.8379266,4850.650872
411.6453412,4847.024922
414.4201116,4841.658516
417.2275263,4841.658516
420.034941,4841.658516
422.8423556,4841.658516
425.617126,4837.74249
428.4245407,4831.94097
431.2319553,4831.94097
434.03937,4831.94097
436.8467848,4831.94097
439.6215552,4827.879906
442.4289698,4821.78831
445.2363845,4821.78831
448.0437992,4821.78831
450.8185696,4821.78831
453.6259842,4821.78831
456.4333989,4810.91046
459.2408136,4810.91046
462.0482283,4810.91046
464.8229987,4810.91046
467.6304134,4810.91046
470.4378281,4799.452458
473.2452428,4799.452458
476.0200131,4799.452458
478.8274278,4799.452458
481.6348425,4799.452458
484.4422572,4787.269266
487.2496719,4787.269266
490.0244422,4787.269266
492.831857,4787.269266
495.6392717,4787.269266
498.4466864,4774.360884
501.2541011,4774.360884
504.0288714,4774.360884
506.8362861,4774.360884
509.6437008,4774.360884
512.4511155,4760.727312
515.2258858,4760.727312
518.0333005,4760.727312
520.8407152,4760.727312
523.64813,4760.727312
526.4555447,4752.315108
529.230315,4746.223512
532.0377297,4746.223512
534.8451444,4746.223512
537.652559,4746.223512
540.4273294,4737.376194
543.2347441,4730.994522
546.0421588,4730.994522
548.8495734,4730.994522
551.6569882,4730.994522
554.4317586,4721.567052
557.2391732,4714.895304
560.0465879,4714.895304
562.8540026,4714.895304
565.628773,4714.895304
568.4361876,4714.895304
571.2436023,4697.78082
574.051017,4697.78082
576.8584317,4697.78082
579.6332021,4697.78082
582.4406168,4697.78082
585.2480315,4687.338084
588.0554462,4679.941146
590.8302165,4679.941146
593.6376312,4679.941146
596.4450459,4679.941146
599.2524606,4668.77322
602.0598753,4660.941168
604.8346456,4660.941168
607.6420604,4660.941168
610.4494751,4660.941168
613.2568898,4649.19309
616.0316601,4640.925924
618.8390748,4640.925924
621.6464895,4640.925924
624.4539042,4640.925924
627.2613189,4628.597694
630.0360892,4619.895414
632.8435039,4619.895414
635.6509187,4619.895414
638.4583334,4619.895414
641.2331037,4606.841994
644.0405184,4606.841994
646.8479331,4597.7046
649.6553478,4597.7046
652.4627625,4597.7046
655.2375328,4583.92599
658.0449475,4583.92599
