Distance,Pressure
ft,psi
629.3250122,4659.339355
629.3250122,4639.22998
643.4671631,4639.22998
643.4671631,4618.022461
657.609314,4618.022461
657.609314,4595.670898
671.7514648,4595.670898
671.7514648,4572.126465
685.8935547,4572.126465
685.8935547,4547.340332
700.0357056,4547.340332
700.0357056,4521.261719
714.1778564,4521.261719
714.1778564,4493.837891
728.3200073,4493.837891
728.3200073,4465.016113
742.4620972,4465.016113
742.4620972,4434.741211
756.604248,4434.741211
756.604248,4402.958008
770.7463989,4402.958008
770.7463989,4369.609375
784.8885498,4369.609375
784.8885498,4334.637207
799.0306396,4334.637207
799.0306396,4297.983887
813.1727905,4297.983887
813.1727905,4259.589844
827.3149414,4259.589844
827.3149414,4219.395508
841.4570923,4219.395508
841.4570923,4177.342285
855.5991821,4177.342285
855.5991821,4133.370605
869.741333,4133.370605
869.741333,4087.423096
883.8834839,4087.423096
883.8834839,4039.443604
898.0256348,4039.443604
898.0256348,3989.37793
912.1677246,3989.37793
912.1677246,3937.175293
926.3098755,3937.175293
926.3098755,3882.789063
940.4520264,3882.789063
940.4520264,3826.17749
954.5941772,3826.17749
954.5941772,3767.305176
968.7362671,3767.305176
968.7362671,3706.145264
982.878418,3706.145264
982.878418,3642.678711
997.0205688,3642.678711
997.0205688,3576.898193
1011.16272,3576.898193
1011.16272,3508.806885
1025.30481,3508.806885
1025.30481,3438.421387
1039.447021,3438.421387
1039.447021,3365.770996
1053.589111,3365.770996
1053.589111,3290.898682
1067.731201,3290.898682
1067.731201,3213.859131
1081.873413,3213.859131
1081.873413,3134.718018
1096.015503,3134.718018
1096.015503,3053.54834
1110.157593,3053.54834
1110.157593,2970.42627
1124.299805,2970.42627
1124.299805,2885.426025
1138.441895,2885.426025
1138.441895,2798.61377
1152.584106,2798.61377
1152.584106,2710.03833
1166.726196,2710.03833
1166.726196,2619.725586
1180.868286,2619.725586
1180.868286,2527.666748
1195.010498,2527.666748
1195.010498,2433.812012
1209.152588,2433.812012
1209.152588,2338.058594
1223.294678,2338.058594
1223.294678,2240.23999
1237.43689,2240.23999
1237.43689,2140.11499
1251.578979,2140.11499
1251.578979,2037.349121
1265.721191,2037.349121
1265.721191,1931.494629
1279.863281,1931.494629
1279.863281,1821.958496
1294.005371,1821.958496
1294.005371,1707.954956
1308.147583,1707.954956
1308.147583,1588.431641
1322.289673,1588.431641
1322.289673,1461.946411
1336.431763,1461.946411
1336.431763,1326.454102
1350.573975,1326.454102
1350.573975,1178.904419
1364.716064,1178.904419
1364.716064,1014.407532
1378.858276,1014.407532
1378.858276,824.2243042
1393.000366,824.2243042
1393.000366,649.8110352
1399.8479,649.8110352
1399.8479,575.3909912
1400.064331,575.3909912
1400.064331,572.8134155
1400.078491,572.8134155
1400.078491,575.3909912
1400.295044,575.3909912
